Use Case,Requirement,Requirement2,Requirement3,Capability,Features ,ID,Importance,products,values,sum,count
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Persona Verifications,4,59,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Jumio ID Verification,4,48,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,AU10TIX Platform,4,46,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Sumsub User Verification,4,48,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Caf Identity Verification - KYC,4,40,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,VerifyMy VerifyMyAge Platform,4,32,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,BlueCheck Age Verification for E-Commerce,4,28,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Opale.io Solution,4,26,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Luciditi Digital Identity Platform,4,24,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Veriff Age Estimation,4,22,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,ComplyCube Identity Verification Platform,4,22,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Kids Web Services Parent Verification,4,21,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,HyperVerge One,4,20,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,ComplyCube Identity Assurance,4,20,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Facephi Identity Platform,0,19,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,VouchedRx,0,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,VerifyMy VerifyMyContent,4,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,VouchedFi,0,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,VouchedAuto,0,18,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Jumio Platform,0,17,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,3DiVi Face SDK & API,4,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Luxand FaceSDK,4,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Paravision Age Estimation,4,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Checkin.com Face Recognition,4,16,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,AGEify Application,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Kairos Digital Identity Verification,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Unissey Facial Biometrics,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Melissa Identity Verification,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,HyperVerge Face Authentication,0,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Gulf Data International IdentifyME,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Amazon Rekognition,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Innovative Technology MyCheckr,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,SCSoft Face Verification,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Enface Platform,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,KYCAID Verification Platform,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Betaface Face Detection and Recognition SDK & API,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Trust Stamp Age Estimation,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Didit Identity Verification,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Trust Stamp Age Verification,4,12,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,UltraPass Identity Ultra Pass ID,4,11,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,1Kosmos BlockID Customer,4,11,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,MSLA-ID Identity Verification,0,11,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Deep Labs DeepDecision,0,9,32
Age Estimation for Streaming Services,Detect Anomalous User Activity,Detect Anomalous User Activity,1,Age Estimation,"Latent Signal Analysis, Mouse Dynamics, IP Address Logging, Psychographic Signals Analysis",1,4,Rank One Computing ROC SDK,4,8,32
